Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total
LCD78Q2,"Evcon Rentals","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2025-12-19,2025-12-19,2025-12-25,1350
3RKRAR7,"Evcon Rentals","Custom/Other",2025-12-19,2025-12-19,2025-12-25,1005
LZWVTK5,"Evcon Rentals","Mini Excavator, 4 ton",2025-12-19,2025-12-19,2025-12-25,1275
STKLTVH,"Carolina Containers & Transport - Raleigh NC","Tracked Skid Steer, 1700 lbs",2025-12-19,2025-12-19,2025-12-20,275
PUAE8CH,"Milam Rental LLC - Sutherlin VA","Articulated Dump Truck, 30 ton+",2025-12-19,2026-01-05,2026-02-02,11000
HJKAVW4,"LGP Equipment Rentals - Bell Gardens CA","Wheel Loader, 3 yds+",2025-12-19,2025-12-19,2025-12-20,550
64DT7HT,"Best Rental Centers Inc - Altamonte Springs FL","Walk Behind Skid Steer",2025-12-18,2025-12-20,2025-12-21,275
ZGFHGRY,"Oak Grove Rentals  - Oak Grove MO","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-18,2025-12-22,2025-12-24,300
3TZUDUR,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-19,2025-12-25,278.6
99BXAHJ,"Rapid Rentals - Castaic CA","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-21,2025-12-22,70.7
JRETZE9,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-18,2026-01-15,460
JGDZBJB,"Synergy Equipment - Austin TX","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2025-12-17,2025-12-22,2025-12-23,750
SP7ADSG,"NG Equipment Sales - Phoenix AZ","Mini Excavator, 3 ton",2025-12-17,2025-12-18,2026-01-14,2600
L3BASRL,"Ready Equipment Rental - San Bernardino CA","Tracked Skid Steer, 1300 lbs",2025-12-17,2025-12-18,2025-12-20,488.6
FT9U7T8,"Sunstate Equipment - Oakland CA","Pneumatic Tire Forklift, 5000 lbs",2025-12-17,2026-01-11,2026-01-15,500
UQJHJ7A,"Sunstate Equipment - Colton CA","Custom/Other",2025-12-17,2025-12-18,2026-01-15,390
7SLES7C,"South Florida Equipment Rentals - West Palm Beach FL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-17,2025-12-18,2025-12-19,350
S6Y3TJZ,"Atmosphere Rental Inc - Cambridge ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-17,2025-12-19,2026-01-16,364
RLWQXD6,"Durants Tool Rentals - New Windsor NY","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-17,2025-12-17,2025-12-18,186
6G4GGYY,"Great Rate Rentals - South Windsor CT","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-17,2025-12-18,2025-12-20,598
4L37VRU,"Stoney Creek Equipment Rentals - Hamilton ON","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-17,2025-12-18,2025-12-19,283
VLT4ZUZ,"V-Bar Equipment - Abilene TX","Pneumatic Tire Forklift, 5000 lbs",2025-12-16,2025-12-17,2025-12-18,225
RELKL74,"Sunstate Equipment - Atlanta GA","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-17,2025-12-18,500
SZAF4L5,"Aerial Plus - Burlington ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-23,300
QLFCWR2,"Aerial Plus - Burlington ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-23,300
TKHWVV5,"Sunstate Equipment - Jacksonville FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-16,2025-12-17,2026-01-16,635.2
K9KSBWX,"Stoney Creek Equipment Rentals - Hamilton ON","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-16,2025-12-17,2025-12-18,569
YSTQK54,"101 Equipment Rentals - Santa Rosa, CA","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-16,2025-12-16,2026-02-10,1592
B53BY2Z,"South Florida Equipment Rentals - West Palm Beach FL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-16,2025-12-18,2025-12-19,350
AT8JDHZ,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-16,2025-12-22,2025-12-23,130.2
7GGWLYZ,"Sunstate Equipment - Tucson AZ","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-19,2025-12-20,500
TYEBPAH,"Superior Equipment Rental - Wilmington DE","Custom/Other",2025-12-16,2025-12-17,2025-12-18,690
VESQFAV,"TEC Equipment Rental - Orangeburg SC","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-16,2025-12-19,1340
QWPRPAB,"Sunstate Equipment - Orlando FL","Electric Scissor Lift, 40 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-18,260
FTRKSAQ,"Sunstate Equipment - South Fort Worth, TX","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-15,2025-12-16,2025-12-23,450
FF55724,"Central Power of St Louis MO - Maryland Heights MO","Dozer, 40,000 lbs+",2025-12-15,2025-12-17,2025-12-23,2323.29
XVH3Q6P,"Sunstate Equipment - Marietta GA","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-15,2025-12-16,2025-12-18,400
E8D5CVT,"Blakley Equipment Inc - Mount Vernon NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2025-12-15,2025-12-16,179
H5UA8HK,"Equipment Depot - Louisville KY","Custom/Other",2025-12-15,2026-01-10,2026-01-16,0
68TWUBS,"Equipment Depot - Louisville KY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,230
6XQDRRQ,"Equipment Depot - Louisville KY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,230
CKSLV6U,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
A29BYPY,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
QRC8LB3,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
VWBZGHT,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
TT296KB,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
X58ALQP,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
R58FGCR,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
97TY8H2,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
AGASR6L,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
H3F2AGE,"St. Jacobs Property Maintenance","Tractor, 125 hp+",2025-12-15,2025-12-16,2026-04-07,19200
JR58HWF,"Tejas Equipment Rental - Alvarado TX","Custom/Other",2025-12-15,2025-12-17,2025-12-18,408
4TZ3HZR,"NG Equipment Sales - Phoenix AZ","Mini Excavator, 1.5 ton",2025-12-15,2025-12-16,2026-01-12,1238.3
U4C6SJC,"G&W Equipment - Charleston SC","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-12,2025-12-29,2026-01-02,665
BDHY9VA,"G&W Equipment - Charleston SC","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2025-12-12,2025-12-29,2026-01-02,1075
VBC275G,"Discount Forklift - Dallas Fort Worth TX","Custom/Other",2025-12-12,2025-12-15,2025-12-21,3875
SL8294P,"Partner Rentals - Windsor NY","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-12,2025-12-17,2025-12-18,132.3
L6EUR97,"Frank's Supply Company - El Paso TX","Custom/Other",2025-12-12,2025-12-13,2025-12-14,151
CLB7EGY,"Sam Equipment Rental & Sales - Coxheath NS","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-12,2025-12-15,2026-03-15,10000
F5D47C3,"Bobcat of York (Crownstone Equipment) - Frederick MD","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-12,2025-12-17,2025-12-18,106
PGJ9RLC,"Sunstate Equipment - Phoenix AZ","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-12,2025-12-15,2025-12-22,1000
W9AACFS,"Sunstate Equipment - Charlotte NC","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-12,2025-12-13,2025-12-14,364.8
THYHDAZ,"Powertrip Rentals - Signal Hill CA","Cushion Tire Forklift, 25,000 lbs (Indoor Use Only)",2025-12-11,2025-12-16,2025-12-17,700
6HTHAYW,"Industry Lift Inc - Industry CA","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-11,2025-12-12,2025-12-13,170
YXBSTRH,"Sunstate Equipment - Orlando FL","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-11,2025-12-12,2025-12-19,1400
9QUTEFQ,"RP Rents - Naperville IL","Pneumatic Tire Forklift, 5000 lbs",2025-12-11,2025-12-12,2025-12-19,921
2V3YVCD,"Mcleary Lift Equipment - Brampton ON","Custom/Other",2025-12-11,2025-12-15,2025-12-16,800
CV2Q8U4,"General Rent-All - Massillon OH","Custom/Other",2025-12-11,2025-12-11,2025-12-12,30
85WAR96,"General Rent-All - Massillon OH","Tracked Skid Steer, 3400 lbs",2025-12-11,2025-12-11,2025-12-12,325
V827JZ8,"Northside Tool Rental - Buckhead (Atlanta) GA","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-11,2025-12-15,2025-12-16,209.3
A7E2BFS,"Powertrip Rentals - Signal Hill CA","Electric Articulating Boom Lift, 45 ft",2025-12-11,2025-12-11,2025-12-18,750
KDQHBKZ,"H&K EQUIPMENT INC - CORAOPOLIS, PA","Custom/Other",2025-12-11,2025-12-15,2025-12-16,1088
DDYWPK9,"Ready Equipment Rental - San Bernardino CA","Wheeled Skid Steer, 1300 lbs",2025-12-11,2025-12-11,2025-12-12,206.5
4JLUW96,"Cowin Equipment Company Inc. - Birmingham, AL","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-11,2025-12-12,2025-12-13,380
KRAKPL5,"MD Rental - Alfred, ME","Custom/Other",2025-12-11,2025-12-11,2025-12-12,375
EHF8X8H,"Aerial Plus - Burlington ON","Pneumatic Tire Forklift, 5000 lbs",2025-12-10,2025-12-11,2025-12-12,156
9FG757W,"Industry Lift Inc - Industry CA","Custom/Other",2025-12-10,2025-12-11,2025-12-17,1850
9JUGALW,"Sunstate Equipment - Southlake TX","Custom/Other",2025-12-10,2025-12-15,2025-12-22,245
RL6YHFJ,"Sunstate Equipment - Southlake TX","Custom/Other",2025-12-10,2025-12-11,2025-12-12,260
5ZZ4DDF,"NAM Rentals - Toronto ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-10,2025-12-11,2025-12-12,90
VR289TV,"Tejas Equipment Rental - San Antonio TX ","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-10,2025-12-12,2025-12-16,1168
WUUJTY7,"Tejas Equipment Rental - San Antonio TX ","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-10,2025-12-11,2025-12-15,1168
Y2UT6F2,"Continental Lift Truck - New York NY","Custom/Other",2025-12-10,2025-12-12,2025-12-19,750
F67W5RG,"CONEQ Rentals - Woodbridge ON","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-10,2025-12-11,2025-12-12,380
CA9Y2WQ,"Lift X Rentals - Palmetto FL","Pneumatic Tire Forklift, 5000 lbs",2025-12-10,2025-12-10,2025-12-11,188
WCPSEWL,"Robin Rents - Huntsville (North) AL","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-10,2025-12-11,2025-12-12,490
RWS4VEX,"Aerial Plus - Burlington ON","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-10,2025-12-11,2025-12-12,280
9WFHB53,"Briggs Equipment - Miami FL","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-10,2025-12-11,2026-01-08,1337
UHY8LQ3,"CONEQ Rentals - Woodbridge ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-10,2025-12-19,2025-12-31,580
FD94Y68,"CONEQ Rentals - Woodbridge ON","Electric Articulating Boom Lift, 45 ft",2025-12-10,2025-12-19,2025-12-31,1250
GFH5PKZ,"Western States Cat - Meridian ID","Dozer, 15,000 lbs+",2025-12-09,2025-12-13,2025-12-14,649.6
S2LXJDT,"Industry Lift Inc - Industry CA","Cushion Tire Forklift, 25,000 lbs (Indoor Use Only)",2025-12-09,2025-12-10,2025-12-11,350
4EE9RVU,"Border Equipment - Atlanta GA","Mini Excavator, 6 ton",2025-12-09,2025-12-10,2026-01-07,2940
QJQ4J8W,"Rent Equip - Austin TX","Dozer, 15,000 lbs+",2025-12-09,2025-12-10,2025-12-17,1500
H2EJG4V,"GTA Equipment Rentals - Oakville ON","Custom/Other",2025-12-09,2025-12-09,2026-03-24,2120
SJ9RREU,"Tejas Equipment Rental - San Marcos TX","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2025-12-09,2025-12-09,2025-12-10,500
RLVHRUY,"Sunstate Equipment - Raleigh (Garner) NC","Towable Boom Lift, 50 ft",2025-12-09,2025-12-15,2025-12-16,345
RUD2FHX,"Rental Guys - Orangevale CA","Custom/Other",2025-12-09,2025-12-09,2025-12-10,29
C6YU6T6,"Rental Guys - Orangevale CA","Custom/Other",2025-12-09,2025-12-09,2025-12-10,300
HGTZ954,"Powertrip Rentals - Signal Hill CA","Electric Scissor Lift, 40 ft (Indoor Use Only)",2025-12-09,2025-12-10,2026-01-07,986
R3LQ5RX,"Powertrip Rentals - Signal Hill CA","Electric Articulating Boom Lift, 30 ft",2025-12-09,2025-12-09,2025-12-16,675
574TWRR,"Lift Truck Supply - Tyler TX","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2025-12-09,2025-12-11,2025-12-13,822
LFPPGV7,"Lybroco Rentals - Edmonton AB","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-08,2025-12-11,2025-12-12,117.6
7G99G2K,"Sunstate Equipment - Houston  (Cypress) TX ","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-08,2025-12-10,2025-12-11,200
AWL6ARE,"Ed's Rental & Sales Inc","Custom/Other",2025-12-08,2025-12-09,2026-01-06,3500
HUK3AHH,"Black Oak Equipment Rental - Sumter SC","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-08,2025-12-09,2025-12-12,370
K4A8BX3,"Border Equipment (Bobcat of Augusta) - Augusta GA","Dozer, 15,000 lbs+",2025-12-08,2025-12-15,2025-12-22,2000
S8U2Z4C,"Border Equipment (Bobcat of Augusta) - Augusta GA","Excavator, 20 ton+",2025-12-08,2025-12-15,2025-12-22,2400
58QPH5S,"Tejas Equipment Rental - Houston TX ","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-08,2025-12-09,2025-12-11,920
QLLR994,"Skyblack Rentals - Houston TX","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-08,2025-12-13,2025-12-13,0
WEYA2CR,"Sunstate Equipment - Las Vegas (Henderson) NV","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-08,2025-12-09,2025-12-10,600
WB6J48C,"Tejas Equipment Rental - Houston TX ","Custom/Other",2025-12-08,2025-12-08,2025-12-10,480
EQHEGA8,"Bobcat Plus - Butler WI","Tracked Skid Steer, 3400 lbs",2025-12-08,2025-12-09,2025-12-10,595
5UUY84G,"Jamco - Plant City FL","Custom/Other",2025-12-08,2025-12-09,2025-12-16,583
28Q2WY8,"Sunstate Equipment - Oklahoma City OK","Custom/Other",2025-12-08,2025-12-09,2025-12-23,2400
GZ3JE7B,"Supply Wagon Rentals","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-08,2025-12-08,2025-12-10,300
G57EZ64,"Sunstate Equipment - Raleigh (Garner) NC","Custom/Other",2025-12-08,2025-12-08,2025-12-09,135
EKLH8JK,"Sunstate Equipment - Raleigh (Garner) NC","Custom/Other",2025-12-08,2025-12-08,2025-12-09,135
ZZPXKPS,"Equipment Depot - Dallas TX","Custom/Other",2025-12-05,2025-12-08,2025-12-09,410
ZYAWW4F,"Sunstate Equipment - Las Vegas (Henderson) NV","Custom/Other",2025-12-05,2025-12-12,2025-12-19,131
X55SVT8,"Sunstate Equipment - Las Vegas (Henderson) NV","Custom/Other",2025-12-05,2025-12-12,2025-12-19,500
DG89URD,"Aerial Plus - Burlington ON","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-05,2025-12-09,2025-12-10,140
GL9ZZRL,"Elite Equipment Rental - Lebanon OR","Custom/Other",2025-12-05,2025-12-09,2025-12-11,250
LXZ8922,"General Rent-All - Massillon OH","Tracked Skid Steer, 3400 lbs",2025-12-05,2025-12-11,2025-12-12,340
LRWJR58,"Sunstate Equipment - San Diego CA","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-04,2025-12-08,2026-03-02,3660
LR2G3PC,"Ecco Equipment Corporation - Phoenix, AZ","Excavator, 25 ton+",2025-12-04,2025-12-05,2025-12-12,2025
FZARW35,"Stoney Creek Equipment Rentals - Hamilton ON","Pneumatic Tire Forklift, 5000 lbs",2025-12-04,2025-12-05,2025-12-06,175
5JUXXY2,"Tejas Equipment Rental - Alvarado TX","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-04,2025-12-05,2025-12-12,484
Z3BYS9K,"Mcleary Lift Equipment - Brampton ON","Custom/Other",2025-12-04,2025-12-08,2025-12-15,585
FTGYXP8,"Continental Lift Truck - New York NY","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-04,2025-12-04,2025-12-05,250
L59KXEZ,"Synergy Equipment - Clearwater FL","Mini Excavator, 8 ton",2025-12-04,2025-12-05,2025-12-09,1600
AK8L3FH,"Sunstate Equipment - Tucson AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-04,2025-12-05,2025-12-12,245
877B5RQ,"Leppo Rents (Bobcat of Jacksonville) - Jacksonville FL","Scissor Lift, Vertical Man Lift",2025-12-04,2025-12-04,2025-12-05,161.7
C5RXLS8,"Aerial Plus - Burlington ON","Pneumatic Tire Forklift, 5000 lbs",2025-12-04,2025-12-05,2025-12-12,396
XTH67AH,"U-Rent It Sales & Service - Rockwall TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-04,2025-12-08,2025-12-14,222.6
HDYCF7D,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-04,2025-12-04,2025-12-10,284
ZRHPUR2,"Lift X Rentals - Palmetto FL","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-04,2025-12-05,2025-12-12,800
E2UZ64F,"Great Rate Rentals - South Windsor CT","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-04,2025-12-06,2025-12-07,299
975PFQ8,"Border Equipment (Bobcat of Augusta) - Augusta GA","Custom/Other",2025-12-04,2025-12-09,2025-12-10,524.8
KKQ5VLC,"JGR Equipment Sales & Rental - Richmond VA","Telehandler Reach Forklift, 10000 lbs, 42 - 49 ft",2025-12-03,2025-12-05,2025-12-12,1300
WY85HVX,"Synergy Equipment - Orlando FL","Mini Excavator, 9 ton",2025-12-03,2025-12-19,2025-12-22,1922
BD654F6,"Industry Lift Inc - Industry CA","Custom/Other",2025-12-03,2025-12-04,2025-12-05,380
J2ZJ2QH,"Superior Equipment Rental - Wilmington DE","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-03,2025-12-05,2025-12-06,530
D4PZP8U,"Dominic's Equipment Rental - Monroe PA","Custom/Other",2025-12-03,2025-12-04,2025-12-11,1058
BJWE7SY,"Area Rentals Inc - Hillside NJ","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-03,2025-12-04,2025-12-05,890
3EWZ2G3,"Leppo Rents (Bobcat of Jacksonville) - Jacksonville FL","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-03,2025-12-08,2025-12-10,849.6
RV6U687,"Area Rentals Inc - Hillside NJ","Electric Scissor Lift, 40 ft (Indoor Use Only)",2025-12-03,2025-12-05,2025-12-12,830
RJVYVSX,"Aerial Plus - Burlington ON","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-03,2025-12-03,2025-12-24,2628
AHWKQEQ,"Rental Solutions and Events LLC - Sykesville MD","Mini Excavator, 3 ton",2025-12-03,2025-12-04,2025-12-05,250
3TUGXY8,"NAM Rentals - Toronto ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-02,2025-12-03,2025-12-04,109
V4GU5L3,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-02,2025-12-03,2025-12-05,186.2
9RT866Y,"Thompson & Johnson Equipment Co., Inc - East Syracuse NY","Custom/Other",2025-12-02,2025-12-04,2025-12-05,695
AU7B7SF,"Eastern Tennessee Rent-Alls - Johnson City TN","Custom/Other",2025-12-02,2025-12-04,2025-12-05,350
8ZQVX6S,"NAM Rentals - Toronto ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-02,2025-12-03,2025-12-09,250.4
S6YZU7V,"CONEQ Rentals - Woodbridge ON","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-12-02,2025-12-02,2025-12-03,359.1
9ZS766Y,"All Pro Lift and Equipment LLC - Phoenix AZ","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-02,2025-12-04,2025-12-11,846.4
4RD7XFG,"Ecco Equipment Corporation - Visalia, CA","Soil Compaction Pad Foot, 84 inches+",2025-12-01,2025-12-02,2025-12-03,675
95ZPR9F,"Hive Rentals & Co - Caldwell TX","Dozer, 20,000 lbs+",2025-12-01,2025-12-08,2025-12-15,1800
JLQTYLE,"All Pro Lift and Equipment LLC - Phoenix AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-01,2025-12-01,2025-12-02,126
4YG8KUB,"Carolina Industrial Trucks - Charlotte NC","Pneumatic Tire Forklift, 5000 lbs",2025-12-01,2025-12-04,2025-12-05,400
2P4KFLT,"Synergy Equipment - Austin TX","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2025-12-01,2025-12-07,2025-12-13,1750
YC559ZS,"Sunstate Equipment - Burbank CA","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-01,2025-12-03,2025-12-04,200
VDUK6UX,"Northside Tool Rental - Buckhead (Atlanta) GA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-01,2025-12-02,2025-12-09,432
ETCPVL9,"Northside Tool Rental - Buckhead (Atlanta) GA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-01,2025-12-02,2025-12-09,432
