Rank,Company,Total Rentals,Total GMV,Active Branches
1,"MG Machinery",1,207500.00,1
2,"Sunstate Equipment",122,137569.89,46
3,"Equipment Share",39,82072.80,13
4,"Herc Rentals",20,46211.38,15
5,"Sunbelt Rentals",16,41421.00,11
6,"Aerial Plus",36,39648.68,1
7,"Bobcat Dealers",16,35498.20,7
8,"Equipment Depot",13,29513.00,2
9,"GMW Equipment",2,29436.00,1
10,"Continental Lift Truck",21,26238.47,1
11,"Stoney Creek Equipment Rentals",12,18611.25,1
12,"Synergy Equipment",10,18214.30,5
13,"Lift X Rentals",13,17960.78,1
14,"HTX Material Handling",2,17600.00,1
15,"Global Lions Rental Inc",2,17153.85,1
16,"Powertrip Rentals",15,15795.20,1
17,"Skye Heavy Equipment Rentals",1,15350.00,1
18,"Milam Rental LLC",1,15270.00,1
19,"Sam Equipment Rental & Sales",1,13853.57,1
20,"Illinois Lift Equipment",12,13091.52,1
21,"Discount Forklift",1,12890.00,1
22,"Evcon Rentals",4,12534.00,1
23,"Tejas Equipment Rental",11,12506.00,2
24,"Industry Lift Inc",5,12218.00,1
25,"Mcleary Lift Equipment",3,11815.00,1
26,"CONEQ Rentals",11,11523.28,1
27,"Dobbs Equipment (John Deere)",1,11400.00,1
28,"H&K EQUIPMENT INC - CORAOPOLIS, PA",2,11266.00,1
29,"NG Equipment Sales",2,9227.71,1
30,"All Pro Lift and Equipment LLC",7,9123.17,1