Rank,Supplier,GMV,Orders
1,"Continental Lift Truck - New York NY",19209.69,20
2,"Skye Heavy Equipment Rentals - Asheboro NC",17278.43,1
3,"Sunstate Equipment - Orlando FL",16366.58,5
4,"Tejas Equipment Rental - San Antonio TX ",11568.07,4
5,"Dashino Excavating - Brampton ON",10517.60,1
6,"Cropac Equipment Inc",10234.78,1
7,"Lift X Rentals - Palmetto FL",10003.81,10
8,"Herc Rentals (9316) - Myrtle Beach SC",9844.23,2
9,"St. Jacobs Property Maintenance",8397.37,1
10,"Sunbelt Rentals 1018 - Manheim, PA",7567.40,1
11,"Skyblack Rentals - Houston TX",7337.45,7
12,"Sunstate Equipment - Portland OR",6917.58,2
13,"CONEQ Rentals - Woodbridge ON",6724.51,10
14,"Aerial Plus - Burlington ON",6468.97,22
15,"Synergy Equipment - Houston TX",5653.85,3
16,"Sunbelt Rentals 293 - Bangor, ME",5553.30,1
17,"LSR Equipment - Weatherford TX",5534.19,1
18,"Sunbelt Rentals - North Haven, CT",5533.89,1
19,"Ewald Kubota - Corpus Christi TX",5486.73,1
20,"Leppo Rents (Bobcat of Jacksonville) - Jacksonville FL",5314.24,4
21,"Industry Lift Inc - Industry CA",5152.25,4
22,"Sunstate Equipment - Dallas TX (Duncanville)",5100.53,2
23,"Robin Rents - Huntsville (North) AL",4962.88,1
24,"Ecco Equipment Corporation - Phoenix, AZ",4921.64,1
25,"Sunstate Equipment - Southlake TX",4888.79,3
26,"Sunstate Equipment - Raleigh (Garner) NC",4807.22,4
27,"Herc Rentals",4712.26,1
28,"Sunstate Equipment - Balch Springs TX",4609.98,2
29,"Sunbelt Rentals 21 - Fayetteville, NC",4539.08,1
30,"Powertrip Rentals - Signal Hill CA",4514.50,15
31,"Sunstate Equipment - Atlanta GA",4486.15,3
32,"Tejas Equipment Rental - Houston TX ",4126.98,2
33,"Herc Rentals - Jackson, MS",4116.98,1
34,"Equipment Share - Memphis TN",4062.34,1
35,"South Florida Equipment Rentals - West Palm Beach FL",4055.76,2
36,"Tejas Equipment Rental - Alvarado TX",4003.87,5
37,"LGP Equipment Rentals - Bell Gardens CA",3883.09,1
38,"Yancey Cat - Kennesaw GA",3789.75,1
39,"Equipment Share - Tyler TX",3771.41,1
40,"Sunstate Equipment - Oklahoma City OK",3744.81,2
41,"Synergy Equipment - Orlando FL",3649.83,1
42,"Stoney Creek Equipment Rentals - Hamilton ON",3563.19,7
43,"Sunstate Equipment - Denver CO",3539.26,5
44,"Bobcat of York (Crownstone Equipment) - Frederick MD",3485.45,3
45,"Sunstate Equipment - Odessa TX",3457.52,1
46,"Rent Equip - Austin TX",3342.98,1
47,"Equipment Share - Texarkana AR",3340.19,1
48,"The Rental Hub - Wytheville, VA",3268.24,1
49,"Briggs Equipment - Miami FL",3235.25,1
50,"Synergy Equipment - Austin TX",3057.69,1